# Frequncy nu in Hz, Model flux in nu F_nu in ergs / cm^2 / s
# nu                  sync                sync_radio          sync_wind           dust                ic_total            ic_sync             ic_dust             ic_cmb              
         2.94984e+21         1.31254e-09         4.42208e-38         1.31254e-09         0.00000e+00         2.32680e-12         1.10480e-12         2.38281e-13         9.83718e-13
         4.14429e+21         1.11499e-09         6.21266e-38         1.11499e-09         0.00000e+00         2.74506e-12         1.34473e-12         3.01526e-13         1.09880e-12
         5.82238e+21         9.45910e-10         8.72829e-38         9.45910e-10         0.00000e+00         3.19977e-12         1.63410e-12         3.81111e-13         1.18456e-12
         8.17997e+21         7.94263e-10         1.22625e-37         7.94263e-10         0.00000e+00         3.70424e-12         1.98243e-12         4.80872e-13         1.24094e-12
         1.14922e+22         6.46130e-10         1.72278e-37         6.46130e-10         0.00000e+00         4.31356e-12         2.40092e-12         6.05219e-13         1.30741e-12
         1.61456e+22         5.10937e-10         2.42037e-37         5.10937e-10         0.00000e+00         5.15020e-12         2.90264e-12         7.58961e-13         1.48861e-12
         2.26832e+22         3.84807e-10         3.40042e-37         3.84807e-10         0.00000e+00         6.39150e-12         3.50284e-12         9.46869e-13         1.94179e-12
         3.18681e+22         2.65031e-10         4.77732e-37         2.65031e-10         0.00000e+00         8.18765e-12         4.21933e-12         1.17269e-12         2.79563e-12
         4.47720e+22         1.60216e-10         6.71174e-37         1.60216e-10         0.00000e+00         1.05694e-11         5.07271e-12         1.43757e-12         4.05917e-12
         6.29010e+22         7.92222e-11         9.42944e-37         7.92222e-11         0.00000e+00         1.34397e-11         6.08688e-12         1.73737e-12         5.61548e-12
         8.83708e+22         3.20718e-11         1.32476e-36         3.20718e-11         0.00000e+00         1.66064e-11         7.28894e-12         2.05932e-12         7.25812e-12
         1.24154e+23         6.65208e-12         1.86118e-36         6.65208e-12         0.00000e+00         1.98202e-11         8.70931e-12         2.37939e-12         8.73152e-12
         1.74426e+23         1.03345e-12         2.61480e-36         1.03345e-12         0.00000e+00         2.28726e-11         1.03815e-11         2.66468e-12         9.82645e-12
         2.45054e+23         4.18803e-14         3.67358e-36         4.18803e-14         0.00000e+00         2.57013e-11         1.23379e-11         2.89383e-12         1.04696e-11
         3.44281e+23         5.90843e-16         5.16108e-36         5.90843e-16         0.00000e+00         2.84335e-11         1.46094e-11         3.10562e-12         1.07185e-11
         4.83686e+23         1.15432e-18         7.25090e-36         1.15432e-18         0.00000e+00         3.13757e-11         1.72166e-11         3.47035e-12         1.06888e-11
         6.79540e+23         9.02189e-23         1.01869e-35         9.02189e-23         0.00000e+00         3.49835e-11         2.01610e-11         4.33333e-12         1.04891e-11
         9.54697e+23         5.43557e-28         1.43118e-35         5.43557e-28         0.00000e+00         3.97278e-11         2.34265e-11         6.10444e-12         1.01969e-11
         1.34127e+24         2.10214e-35         2.01069e-35         9.14504e-37         0.00000e+00         4.57865e-11         2.69430e-11         8.98406e-12         9.85947e-12
         1.88438e+24         2.82823e-35         2.82485e-35         3.37089e-38         0.00000e+00         5.29296e-11         3.06216e-11         1.28046e-11         9.50341e-12
         2.64740e+24         3.97342e-35         3.96869e-35         4.73582e-38         0.00000e+00         6.05586e-11         3.43286e-11         1.70873e-11         9.14268e-12
         3.71937e+24         5.58234e-35         5.57568e-35         6.65344e-38         0.00000e+00         6.77723e-11         3.78876e-11         2.11004e-11         8.78428e-12
         5.22542e+24         7.84273e-35         7.83338e-35         9.34753e-38         0.00000e+00         7.37830e-11         4.12841e-11         2.40674e-11         8.43142e-12
         7.34128e+24         1.10184e-34         1.10053e-34         1.31325e-37         0.00000e+00         7.82419e-11         4.45880e-11         2.55687e-11         8.08527e-12
         1.03139e+25         1.54799e-34         1.54615e-34         1.84501e-37         0.00000e+00         8.18678e-11         4.83433e-11         2.57786e-11         7.74590e-12
         1.44902e+25         2.17480e-34         2.17221e-34         2.59209e-37         0.00000e+00         8.55802e-11         5.30768e-11         2.50906e-11         7.41277e-12
         2.03575e+25         3.05542e-34         3.05178e-34         3.64167e-37         0.00000e+00         9.05636e-11         5.96775e-11         2.38012e-11         7.08489e-12
         2.86006e+25         4.29262e-34         4.28750e-34         5.11625e-37         0.00000e+00         9.48358e-11         6.59361e-11         2.21387e-11         6.76099e-12
         4.01816e+25         6.03077e-34         6.02359e-34         7.18792e-37         0.00000e+00         9.45125e-11         6.77825e-11         2.02905e-11         6.43948e-12
         5.64518e+25         8.47274e-34         8.46264e-34         1.00984e-36         0.00000e+00         8.63020e-11         6.18700e-11         1.83136e-11         6.11838e-12
         7.93102e+25         1.19035e-33         1.18893e-33         1.41875e-36         0.00000e+00         7.41465e-11         5.20305e-11         1.63208e-11         5.79523e-12
         1.11424e+26         1.67235e-33         1.67035e-33         1.99322e-36         0.00000e+00         6.11665e-11         4.13629e-11         1.43367e-11         5.46686e-12
         1.56542e+26         2.34951e-33         2.34671e-33         2.80032e-36         0.00000e+00         5.06234e-11         3.30860e-11         1.24082e-11         5.12918e-12
         2.19929e+26         3.30087e-33         3.29693e-33         3.93421e-36         0.00000e+00         4.08912e-11         2.55649e-11         1.05474e-11         4.77897e-12
         3.08982e+26         4.63745e-33         4.63192e-33         5.52725e-36         0.00000e+00         3.33143e-11         2.00468e-11         8.85041e-12         4.41701e-12
         4.34094e+26         6.51523e-33         6.50747e-33         7.76533e-36         0.00000e+00         2.68368e-11         1.55428e-11         7.23635e-12         4.05772e-12
         6.09867e+26         9.15337e-33         9.14246e-33         1.09097e-35         0.00000e+00         2.13082e-11         1.17474e-11         5.84924e-12         3.71152e-12
         8.56813e+26         1.28597e-32         1.28444e-32         1.53272e-35         0.00000e+00         1.73205e-11         9.35292e-12         4.58880e-12         3.37882e-12
         1.20375e+27         1.80669e-32         1.80453e-32         2.15334e-35         0.00000e+00         1.35496e-11         6.96365e-12         3.53303e-12         3.05288e-12
         1.69117e+27         2.53825e-32         2.53522e-32         3.02527e-35         0.00000e+00         1.09292e-11         5.55661e-12         2.64725e-12         2.72534e-12
         2.37596e+27         3.56603e-32         3.56178e-32         4.25026e-35         0.00000e+00         8.51242e-12         4.16432e-12         1.94390e-12         2.40420e-12
         3.33803e+27         5.00998e-32         5.00401e-32         5.97126e-35         0.00000e+00         6.67738e-12         3.18280e-12         1.39975e-12         2.09483e-12
         4.68966e+27         7.03861e-32         7.03022e-32         8.38913e-35         0.00000e+00         5.17755e-12         2.44310e-12         9.42868e-13         1.79158e-12
         6.58858e+27         9.88868e-32         9.87689e-32         1.17860e-34         0.00000e+00         3.96136e-12         1.78320e-12         6.71786e-13         1.50637e-12
         9.25642e+27         1.38928e-31         1.38762e-31         1.65584e-34         0.00000e+00         3.00534e-12         1.37470e-12         3.95801e-13         1.23483e-12
         1.30045e+28         1.95182e-31         1.94950e-31         2.32632e-34         0.00000e+00         2.24211e-12         9.79323e-13         2.94136e-13         9.68649e-13
         1.82703e+28         2.74215e-31         2.73888e-31         3.26829e-34         0.00000e+00         1.58346e-12         7.08039e-13         1.45317e-13         7.30103e-13
         2.56682e+28         3.85250e-31         3.84790e-31         4.59169e-34         0.00000e+00         1.09238e-12         4.74164e-13         1.19310e-13         4.98902e-13
         3.60618e+28         5.41244e-31         5.40599e-31         6.45094e-34         0.00000e+00         6.65502e-13         2.88834e-13         4.53417e-14         3.31326e-13
         5.06638e+28         7.60404e-31         7.59497e-31         9.06305e-34         0.00000e+00         4.26485e-13         1.81615e-13         3.62874e-14         2.08582e-13
         7.11785e+28         1.06830e-30         1.06703e-30         1.27328e-33         0.00000e+00         2.47433e-13         1.07030e-13         1.04318e-14         1.29971e-13
         1.00000e+29         1.50088e-30         1.49909e-30         1.78886e-33         0.00000e+00         1.46999e-13         6.36592e-14         5.42021e-15         7.79192e-14
